Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
Dec,Wednesday,Honda,Urban,Tuesday,Jan,Female,Single,21,Policy Holder,Sport - Liability,Sport,more than 69000,0,12,300,1,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,Liability,Young
Jan,Wednesday,Honda,Urban,Monday,Jan,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,0,15,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,Collision,Adult
Oct,Friday,Honda,Urban,Thursday,Nov,Male,Married,47,Policy Holder,Sport - Collision,Sport,more than 69000,0,7,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jun,Saturday,Toyota,Rural,Friday,Jul,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,Liability,Senior
Jan,Monday,Honda,Urban,Tuesday,Feb,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,0,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Oct,Friday,Honda,Urban,Wednesday,Nov,Male,Single,20,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,5 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,Collision,Young
Feb,Saturday,Honda,Urban,Monday,Feb,Male,Married,36,Third Party,Sport - Collision,Sport,more than 69000,0,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Nov,Friday,Honda,Urban,Tuesday,Mar,Male,Single,39,Policy Holder,Sport - Collision,Sport,more than 69000,0,1,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,Adult
Dec,Saturday,Honda,Urban,Wednesday,Dec,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,0,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,Collision,Adult
Apr,Tuesday,Ford,Urban,Wednesday,Apr,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
